episode: 391, episode length: 500, reward: 83.35324650783626
episode: 392, episode length: 500, reward: 46.51034350634473
episode: 393, episode length: 500, reward: 87.12582554022109
episode: 394, episode length: 458, reward: 46.68912842732877
episode: 395, episode length: 500, reward: 139.459017736003
episode: 396, episode length: 419, reward: 13.78736769294072
episode: 397, episode length: 500, reward: 9.301645691953825
episode: 398, episode length: 500, reward: 134.3594508821726
episode: 399, episode length: 500, reward: 2.4091045339296597
episode: 400, episode length: 500, reward: 98.01135391173528
episode: 401, episode length: 500, reward: 102.50364880576747
episode: 402, episode length: 500, reward: 97.40675538543582
episode: 403, episode length: 500, reward: 37.44194431013372
episode: 404, episode length: 500, reward: 60.378160110726604
episode: 405, episode length: 500, reward: 115.88423721853096
episode: 406, episode length: 500, reward: 25.380488539421727
episode: 407, episode length: 500, reward: 69.23436582140043
episode: 408, episode length: 500, reward: 62.67839954680709
episode: 409, episode length: 500, reward: 24.32645788614798
episode: 410, episode length: 500, reward: 23.63237135640075
episode: 411, episode length: 500, reward: 15.05981751579297
episode: 412, episode length: 500, reward: 13.829810990662732
episode: 413, episode length: 500, reward: 25.754681357132572
episode: 414, episode length: 500, reward: 5.881501541363526
episode: 415, episode length: 500, reward: 119.74264207905328
episode: 416, episode length: 500, reward: 33.655952588045714
episode: 417, episode length: 1, reward: -100.0
episode: 418, episode length: 500, reward: 74.50754100232166
episode: 419, episode length: 500, reward: 120.11564179758228
episode: 420, episode length: 500, reward: 46.94020680472212
episode: 421, episode length: 500, reward: -3.218030491431472
episode: 422, episode length: 500, reward: 114.5807273106223
episode: 423, episode length: 500, reward: 51.16643893310822
episode: 424, episode length: 500, reward: 89.88394220435741
episode: 425, episode length: 500, reward: 189.7870135700847
episode: 426, episode length: 500, reward: 12.49477836639228
episode: 427, episode length: 500, reward: -24.768573236604595
episode: 428, episode length: 500, reward: 123.58878258537128
episode: 429, episode length: 500, reward: 17.582133528800032
episode: 430, episode length: 500, reward: 4.638225052905458
episode: 431, episode length: 500, reward: 137.95285369361133
episode: 432, episode length: 500, reward: 78.31472254798439
episode: 433, episode length: 500, reward: 99.4650085787789
episode: 434, episode length: 500, reward: 109.8984475333945
episode: 435, episode length: 500, reward: 26.882512236089525
episode: 436, episode length: 500, reward: 61.82294635039316
episode: 437, episode length: 500, reward: 42.09672190268095
episode: 438, episode length: 500, reward: 70.5905168114038
episode: 439, episode length: 500, reward: 118.45259346995151
episode: 440, episode length: 500, reward: 164.73631547381655
episode: 441, episode length: 500, reward: 86.5111496014021
episode: 442, episode length: 500, reward: 67.42484946777482
episode: 443, episode length: 500, reward: 116.77443995252919
episode: 444, episode length: 500, reward: 22.849337590211714
episode: 445, episode length: 500, reward: -12.402490487461217
episode: 446, episode length: 500, reward: 22.653165695964464
episode: 447, episode length: 184, reward: 37.455685318509495
episode: 448, episode length: 500, reward: 115.26226103496717
episode: 449, episode length: 500, reward: 102.52324502912535
episode: 450, episode length: 500, reward: 46.53312842827761
episode: 451, episode length: 500, reward: 168.59318704132414
episode: 452, episode length: 500, reward: 130.41878725084442
episode: 453, episode length: 500, reward: 100.84480220449977
episode: 454, episode length: 500, reward: 106.17928194699594
episode: 455, episode length: 500, reward: 21.16623716426793
episode: 456, episode length: 500, reward: 25.207638573233066
episode: 457, episode length: 500, reward: 49.75427514136685
episode: 458, episode length: 500, reward: 57.89405643799827
episode: 459, episode length: 500, reward: 22.717475160493226
episode: 460, episode length: 500, reward: -3.21062839859106
episode: 461, episode length: 500, reward: 102.91779608591486
episode: 462, episode length: 500, reward: 63.09991722926457
episode: 463, episode length: 500, reward: 55.22949727539866
episode: 464, episode length: 500, reward: 51.79080564761261
episode: 465, episode length: 500, reward: 83.4927805199159
episode: 466, episode length: 500, reward: 108.17690712960916
episode: 467, episode length: 500, reward: 35.72670738611711
episode: 468, episode length: 500, reward: 110.22500262056292
episode: 469, episode length: 500, reward: 122.67505011680284
episode: 470, episode length: 500, reward: 50.632105775873036
episode: 471, episode length: 500, reward: 207.80895395307203
episode: 472, episode length: 500, reward: 39.012268251074985
episode: 473, episode length: 500, reward: 8.871084819591442
episode: 474, episode length: 500, reward: 9.29593959348495
episode: 475, episode length: 500, reward: 7.328512977686522
episode: 476, episode length: 500, reward: 21.790948280267408
episode: 477, episode length: 500, reward: 6.815742420701985
episode: 478, episode length: 500, reward: 67.23418177947953
episode: 479, episode length: 500, reward: 52.20770530798073
episode: 480, episode length: 500, reward: 60.272787669978364
episode: 481, episode length: 500, reward: 88.0876794290792
episode: 482, episode length: 500, reward: 32.046556003525325
episode: 483, episode length: 500, reward: 35.37996574381862
episode: 484, episode length: 500, reward: 81.47092210699132
episode: 485, episode length: 500, reward: -13.374119854625228
episode: 486, episode length: 500, reward: 106.06530588691511
episode: 487, episode length: 500, reward: 136.2915636655226
episode: 488, episode length: 500, reward: 64.34066974053103
episode: 489, episode length: 500, reward: 49.61006211084191
episode: 490, episode length: 500, reward: 54.68100347495702
episode: 491, episode length: 500, reward: 31.672038228499037
episode: 492, episode length: 7, reward: -100.03599376028022
episode: 493, episode length: 32, reward: -69.67823011395262
episode: 494, episode length: 500, reward: 139.99669032229644
episode: 495, episode length: 500, reward: 97.9959427654611
episode: 496, episode length: 500, reward: -14.948651832648157
episode: 497, episode length: 500, reward: 69.931253279216
episode: 498, episode length: 500, reward: 124.14373407782041
episode: 499, episode length: 500, reward: 150.01592243676453
episode: 500, episode length: 500, reward: 43.62936921798216
episode: 501, episode length: 500, reward: -26.219880367609598
episode: 502, episode length: 500, reward: 17.329579776009155
episode: 503, episode length: 500, reward: 72.14732754025881
episode: 504, episode length: 500, reward: 85.25189887483495
episode: 505, episode length: 500, reward: 125.5647397331976
episode: 506, episode length: 500, reward: 218.65037662711302
episode: 507, episode length: 500, reward: 81.84808246292683
episode: 508, episode length: 500, reward: 54.02567826361547
episode: 509, episode length: 500, reward: 41.68997145344025
episode: 510, episode length: 254, reward: -67.503670617288
episode: 511, episode length: 500, reward: 52.40166485295124
episode: 512, episode length: 500, reward: 198.6869900016387
episode: 513, episode length: 500, reward: 91.57077226775047
episode: 514, episode length: 500, reward: 6.880123597427161
episode: 515, episode length: 500, reward: 79.07727694846275
episode: 516, episode length: 500, reward: 75.40859348026362
episode: 517, episode length: 500, reward: 125.6258084613181
episode: 518, episode length: 500, reward: -2.031612727696501
episode: 519, episode length: 500, reward: 134.40246282812987
episode: 520, episode length: 500, reward: 104.42887504817658
episode: 521, episode length: 500, reward: 3.073271144227637
episode: 522, episode length: 500, reward: -11.349187193224859
episode: 523, episode length: 500, reward: 8.499716087946455
episode: 524, episode length: 500, reward: -22.019761201556776
episode: 525, episode length: 500, reward: 27.72892328710373
episode: 526, episode length: 500, reward: 10.75883256498989
episode: 527, episode length: 500, reward: 140.518204209791
episode: 528, episode length: 63, reward: -45.32981300741712
episode: 529, episode length: 500, reward: -9.156755821664616
episode: 530, episode length: 500, reward: 25.868900686497557
episode: 531, episode length: 500, reward: 48.678895244348645
episode: 532, episode length: 38, reward: -96.58039369034873
episode: 533, episode length: 500, reward: 89.19622774813696
episode: 534, episode length: 66, reward: -54.93721843780873
episode: 535, episode length: 500, reward: 107.43722512649735
episode: 536, episode length: 500, reward: 11.706971797325151
episode: 537, episode length: 216, reward: -90.1775388103378
episode: 538, episode length: 500, reward: 94.09225407611306
episode: 539, episode length: 9, reward: -95.3585839886778
episode: 540, episode length: 500, reward: 12.133537879994876
episode: 541, episode length: 500, reward: 7.14816708722035
episode: 542, episode length: 500, reward: 31.189536967775734
episode: 543, episode length: 500, reward: 13.116062029372083
episode: 544, episode length: 500, reward: 39.44188967341815
episode: 545, episode length: 500, reward: 8.265403630269878
episode: 546, episode length: 500, reward: 125.15787379625948
episode: 547, episode length: 500, reward: 149.30285774427773
episode: 548, episode length: 500, reward: 50.97206509654088
episode: 549, episode length: 500, reward: 85.4335991169488
episode: 550, episode length: 500, reward: 91.82786690033177
episode: 551, episode length: 500, reward: 47.01806471033297
episode: 552, episode length: 500, reward: 147.81071602529627
episode: 553, episode length: 500, reward: 96.7029989647041
episode: 554, episode length: 500, reward: 59.09055242702432
episode: 555, episode length: 123, reward: 9.205869351054133
episode: 556, episode length: 474, reward: -4.888543503213086
episode: 557, episode length: 500, reward: 159.7111012308944
episode: 558, episode length: 500, reward: 13.576703967482242
